totalTime,avgCost,totalCost
10,1.0,0.16666666666666666
20,1.0,0.3333333333333333
30,1.0,0.5
40,1.0,0.6666666666666666
50,1.0,0.8333333333333333
60,1.0,0.9999999999999999
70,0.9999999999999998,1.1666666666666665
80,1.0,1.3333333333333333
90,1.0,1.5
100,1.0,1.6666666666666667
110,1.0,1.8333333333333335
120,1.0,2.0
130,1.0,2.1666666666666665
140,0.9999999999999998,2.333333333333333
150,0.9999999999999998,2.4999999999999996
160,0.9999999999999998,2.666666666666666
170,0.9999999999999998,2.8333333333333326
180,0.9999999999999998,2.999999999999999
190,0.9999999999999996,3.1666666666666656
200,0.9999999999999996,3.333333333333332
210,0.9999999999999996,3.4999999999999987
220,0.9999999999999996,3.666666666666665
230,0.9999999999999996,3.8333333333333317
240,0.9999999999999996,3.9999999999999982
250,0.9999999999999996,4.166666666666665
260,0.9999999999999998,4.333333333333332
270,0.9999999999999998,4.499999999999999
280,0.9999999999999998,4.666666666666666
290,1.0,4.833333333333333
300,1.0,5.0
310,1.0,5.166666666666667
320,1.0000000000000002,5.333333333333334
330,1.0000000000000002,5.500000000000001
340,1.0000000000000002,5.666666666666668
350,1.0000000000000002,5.833333333333335
360,1.0000000000000002,6.000000000000002
370,1.0000000000000004,6.166666666666669
380,1.0000000000000004,6.333333333333336
390,1.0000000000000004,6.500000000000003
400,1.0000000000000004,6.66666666666667
410,1.0000000000000004,6.833333333333337
420,1.0000000000000007,7.0000000000000036
430,1.0000000000000007,7.1666666666666705
440,1.0000000000000007,7.3333333333333375
450,1.0000000000000007,7.500000000000004
460,1.0000000000000007,7.666666666666671
470,1.0000000000000007,7.833333333333338
480,1.0000000000000007,8.000000000000005
490,1.0000000000000007,8.166666666666671
500,1.0000000000000004,8.333333333333337
510,1.0000000000000004,8.500000000000004
520,1.0000000000000004,8.66666666666667
530,1.0000000000000002,8.833333333333336
540,1.0000000000000002,9.000000000000002
550,1.0000000000000002,9.166666666666668
560,1.0,9.333333333333334
570,1.0,9.5
580,1.0,9.666666666666666
590,0.9999999999999998,9.833333333333332
600,0.9999999999999998,9.999999999999998
610,0.9999999999999998,10.166666666666664
620,0.9999999999999998,10.33333333333333
630,0.9999999999999996,10.499999999999996
640,0.9999999999999996,10.666666666666663
650,0.9999999999999996,10.833333333333329
660,0.9999999999999996,10.999999999999995
670,0.9999999999999996,11.16666666666666
680,0.9999999999999993,11.333333333333327
690,0.9999999999999993,11.499999999999993
700,0.9999999999999993,11.666666666666659
710,0.9999999999999993,11.833333333333325
720,0.9999999999999993,11.999999999999991
730,0.9999999999999991,12.166666666666657
740,0.9999999999999991,12.333333333333323
750,0.9999999999999991,12.49999999999999
760,0.9999999999999991,12.666666666666655
770,0.9999999999999991,12.833333333333321
780,0.9999999999999989,12.999999999999988
790,0.9999999999999989,13.166666666666654
800,0.9999999999999989,13.33333333333332
810,0.9999999999999989,13.499999999999986
820,0.9999999999999989,13.666666666666652
830,0.9999999999999989,13.833333333333318
840,0.9999999999999989,13.999999999999984
850,0.9999999999999988,14.16666666666665
860,0.9999999999999988,14.333333333333316
870,0.9999999999999988,14.499999999999982
880,0.9999999999999988,14.666666666666648
890,0.9999999999999988,14.833333333333314
900,0.9999999999999988,14.99999999999998
910,0.9999999999999988,15.166666666666647
920,0.9999999999999988,15.333333333333313
930,0.9999999999999986,15.499999999999979
940,0.9999999999999986,15.666666666666645
950,0.9999999999999986,15.83333333333331
960,0.9999999999999986,15.999999999999977
970,0.9999999999999986,16.166666666666643
980,0.9999999999999986,16.33333333333331
990,0.9999999999999988,16.49999999999998
1000,0.9999999999999988,16.666666666666647
1010,0.9999999999999989,16.833333333333314
1020,0.9999999999999989,16.999999999999982
1030,0.9999999999999989,17.16666666666665
1040,0.9999999999999991,17.333333333333318
1050,0.9999999999999991,17.499999999999986
1060,0.9999999999999993,17.666666666666654
1070,0.9999999999999993,17.83333333333332
1080,0.9999999999999993,17.99999999999999
1090,0.9999999999999996,18.166666666666657
1100,0.9999999999999996,18.333333333333325
1110,0.9999999999999996,18.499999999999993
1120,0.9999999999999998,18.66666666666666
